time	V(a)
1.07191e-03	3.06602e+02
1.07191e-03	3.07022e+02
1.07192e-03	3.07376e+02
1.07198e-03	3.07590e+02
1.14894e-03	3.07049e+02
1.14894e-03	3.06788e+02
1.14894e-03	3.06016e+02
1.14894e-03	3.04121e+02
1.14894e-03	3.01222e+02
1.14894e-03	2.85699e+02
1.14894e-03	2.81165e+02
1.14894e-03	2.76292e+02
1.14894e-03	2.71686e+02
1.14894e-03	2.68624e+02
1.14894e-03	2.66473e+02
1.14894e-03	2.64771e+02
1.14894e-03	2.61335e+02
1.14895e-03	2.59544e+02
1.14895e-03	2.57315e+02
1.14895e-03	2.52360e+02
1.14895e-03	2.43290e+02
1.14895e-03	2.24001e+02
1.14895e-03	1.97978e+02
1.14895e-03	1.65489e+02
1.14895e-03	1.26671e+02
1.14895e-03	6.80875e+01
1.14895e-03	3.53762e+01
1.14895e-03	2.00889e+01
1.14895e-03	1.15597e+01
1.14895e-03	6.76396e+00
1.14895e-03	1.40991e+00
1.14895e-03	-6.97618e-01
1.14938e-03	-8.05891e-01
1.32381e-03	-8.08636e-01
1.32381e-03	3.97901e+00
1.32381e-03	3.88669e+01
1.32381e-03	1.28251e+02
1.32382e-03	2.55466e+02
1.32382e-03	2.88614e+02
1.32382e-03	3.01815e+02
1.32382e-03	3.03678e+02
1.32382e-03	3.05724e+02
1.32382e-03	3.06811e+02
1.32383e-03	3.07197e+02
1.32385e-03	3.07445e+02
1.39109e-03	3.07035e+02
1.39109e-03	3.07148e+02
1.39109e-03	3.06928e+02
1.39109e-03	3.06286e+02
1.39109e-03	3.04649e+02
1.39109e-03	3.01733e+02
1.39109e-03	2.97847e+02
1.39109e-03	2.93483e+02
1.39109e-03	2.87130e+02
1.39110e-03	2.80421e+02
1.39110e-03	2.72998e+02
1.39110e-03	2.68933e+02
1.39110e-03	2.66701e+02
1.39110e-03	2.64774e+02
1.39110e-03	2.59291e+02
1.39110e-03	2.57305e+02
1.39110e-03	2.54472e+02
1.39110e-03	2.53874e+02
1.39110e-03	1.25229e+02
1.39110e-03	1.97965e+01
1.39110e-03	1.21662e+01
1.39110e-03	6.20717e+00
1.39110e-03	2.84348e+00
1.39110e-03	1.92850e+00
1.39110e-03	7.36877e-01
1.39110e-03	-7.08874e-01
1.57555e-03	-7.45316e-01
1.57555e-03	2.18544e+01
1.57555e-03	1.00178e+02
1.57556e-03	2.22585e+02
1.57556e-03	2.37481e+02
1.57556e-03	2.61131e+02
1.57556e-03	2.81209e+02
1.57556e-03	2.94187e+02
1.57556e-03	3.00643e+02
1.57556e-03	3.01997e+02
1.57556e-03	3.02500e+02
1.57556e-03	3.03301e+02
1.57556e-03	3.06414e+02
1.57556e-03	3.06863e+02
1.57557e-03	3.07206e+02
1.57559e-03	3.07447e+02
1.63329e-03	3.07115e+02
1.63330e-03	3.07341e+02
1.63330e-03	3.06954e+02
1.63330e-03	3.06453e+02
1.63331e-03	3.02651e+02
1.63331e-03	3.02325e+02
1.63331e-03	3.01873e+02
1.63331e-03	3.01072e+02
1.63331e-03	2.74081e+02
1.63331e-03	2.36995e+02
1.63331e-03	1.91581e+02
1.63331e-03	1.43466e+02
