time	V(A,B)
5.24517e-03	-2.97160e+02
5.24517e-03	-2.92009e+02
5.24517e-03	-2.86311e+02
5.24517e-03	-2.80185e+02
5.24517e-03	-2.73650e+02
5.24517e-03	-2.66178e+02
5.24517e-03	-2.62856e+02
5.24518e-03	-2.60615e+02
5.24518e-03	-2.56233e+02
5.24518e-03	-2.53869e+02
5.24518e-03	-2.50970e+02
5.24518e-03	-2.44350e+02
5.24518e-03	-2.30833e+02
5.24518e-03	-2.09740e+02
5.24518e-03	-1.79025e+02
5.24518e-03	-1.44305e+02
5.24518e-03	-9.79972e+01
5.24518e-03	-3.90200e+01
5.24518e-03	-1.87294e+01
5.24518e-03	-9.85737e+00
5.24518e-03	-3.13027e+00
5.24518e-03	-1.14922e+00
5.24518e-03	2.01690e-01
5.24518e-03	7.52652e-01
5.24519e-03	9.35043e-01
5.40447e-03	8.95980e-01
5.40447e-03	2.88529e-01
5.40447e-03	-3.62358e+00
5.40448e-03	-4.02931e+01
5.40448e-03	-1.34645e+02
5.40448e-03	-2.57471e+02
5.40448e-03	-2.69782e+02
5.40448e-03	-2.85216e+02
5.40448e-03	-2.93481e+02
5.40448e-03	-2.94131e+02
5.40448e-03	-2.94942e+02
5.40448e-03	-2.96060e+02
5.40448e-03	-2.97329e+02
5.40448e-03	-2.97938e+02
5.40448e-03	-2.98464e+02
5.40449e-03	-3.01794e+02
5.40449e-03	-3.02637e+02
5.40449e-03	-3.03064e+02
5.40452e-03	-3.03319e+02
5.87489e-03	-3.02044e+02
5.87489e-03	-3.02398e+02
5.87490e-03	-3.02277e+02
5.87490e-03	-3.02594e+02
6.12998e-03	-3.01957e+02
6.12998e-03	-3.01469e+02
6.12999e-03	-3.00093e+02
6.12999e-03	-2.99004e+02
6.12999e-03	-2.98900e+02
6.12999e-03	-2.99237e+02
6.12999e-03	-3.01077e+02
6.12999e-03	-3.01337e+02
6.13011e-03	-3.01501e+02
6.92236e-03	-3.00577e+02
7.20812e-03	-3.00487e+02
7.20812e-03	-3.00739e+02
7.20813e-03	-3.00635e+02
7.20813e-03	-3.01005e+02
7.22135e-03	-3.00894e+02
7.44205e-03	-3.00626e+02
7.45317e-03	-3.00152e+02
7.46001e-03	-2.99870e+02
7.46340e-03	-2.99955e+02
7.46340e-03	-2.99575e+02
7.46340e-03	-2.98859e+02
7.46341e-03	-2.96917e+02
7.46341e-03	-2.96786e+02
7.46341e-03	-2.97097e+02
7.46341e-03	-2.99682e+02
7.46341e-03	-3.00054e+02
7.46348e-03	-3.00259e+02
8.52418e-03	-3.00084e+02
8.52418e-03	-3.00334e+02
8.52419e-03	-3.00263e+02
8.52419e-03	-3.00577e+02
8.52491e-03	-3.00367e+02
8.53289e-03	-3.00072e+02
8.53289e-03	-2.98260e+02
8.53289e-03	-2.52929e+02
8.53289e-03	-1.67493e+02
8.53289e-03	-5.95499e+01
8.53289e-03	-2.74463e+00
8.53289e-03	-1.87085e+00
8.53289e-03	3.61203e+00
8.53289e-03	6.26739e+00
8.53289e-03	7.22421e+00
8.53290e-03	9.59232e+00
8.53290e-03	9.82712e+00
8.53298e-03	1.00137e+01
8.82876e-03	7.37974e+00
8.84667e-03	7.26028e+00
8.84667e-03	4.88251e+00
8.84667e-03	-2.71304e+00
8.84667e-03	-1.32844e+01
8.84668e-03	-2.23539e+01
8.84668e-03	-2.91887e+01
8.84668e-03	-3.31158e+01
8.84668e-03	-3.67116e+01
8.84668e-03	-6.05300e+01
8.84668e-03	-1.38490e+02
8.84668e-03	-2.60543e+02
8.84668e-03	-2.74294e+02
8.84668e-03	-2.91787e+02
8.84668e-03	-2.99474e+02
8.84668e-03	-3.00635e+02
8.85751e-03	-3.00736e+02
9.70681e-03	-3.00621e+02
9.70681e-03	-2.92287e+02
9.70681e-03	-2.52450e+02
9.70681e-03	-1.57238e+02
9.70681e-03	-3.49607e+01
9.70681e-03	-2.28628e+01
9.70681e-03	-7.79678e+00
9.70681e-03	-1.33221e+00
9.70681e-03	2.06964e+00
9.70681e-03	3.38117e+00
9.70681e-03	4.02914e+00
9.70681e-03	5.66382e+00
9.70682e-03	8.16397e+00
9.70682e-03	8.67117e+00
9.70685e-03	8.90219e+00
1.00483e-02	6.28552e+00
1.03860e-02	4.47382e+00
1.03860e-02	3.58167e+00
1.03860e-02	-1.18091e+00
1.03860e-02	-1.06499e+01
1.03860e-02	-2.08542e+01
1.03860e-02	-2.85150e+01
1.03860e-02	-3.37557e+01
1.03860e-02	-3.77384e+01
1.03860e-02	-4.73742e+01
1.03860e-02	-1.00682e+02
1.03860e-02	-2.23299e+02
1.03860e-02	-2.43261e+02
1.03860e-02	-2.51586e+02
1.03860e-02	-2.59368e+02
1.03860e-02	-2.72255e+02
1.03860e-02	-2.83780e+02
1.03860e-02	-2.91826e+02
1.03860e-02	-2.95559e+02
1.03860e-02	-2.97550e+02
1.03860e-02	-2.99128e+02
1.03860e-02	-3.00299e+02
1.03860e-02	-3.00693e+02
1.03865e-02	-3.00807e+02
1.06566e-02	-3.00801e+02
1.06566e-02	-3.00930e+02
1.06566e-02	-3.00801e+02
1.06566e-02	-2.99770e+02
1.06566e-02	-2.97047e+02
1.06566e-02	-2.92340e+02
1.06566e-02	-2.81059e+02
1.06566e-02	-2.73948e+02
1.06566e-02	-2.66349e+02
1.06566e-02	-2.62002e+02
1.06566e-02	-2.59442e+02
1.06566e-02	-2.54192e+02
1.06566e-02	-2.45741e+02
1.06566e-02	-2.29522e+02
1.06566e-02	-1.97102e+02
1.06566e-02	-1.56899e+02
1.06566e-02	-1.17602e+02
1.06566e-02	-6.91791e+01
1.06566e-02	-3.55157e+01
1.06566e-02	-1.85770e+01
1.06566e-02	-9.46408e+00
