time	V(A,B)
5.18328e-03	-2.31833e+02
5.18328e-03	-2.08845e+02
5.18328e-03	-1.78738e+02
5.18328e-03	-1.45074e+02
5.18328e-03	-9.79120e+01
5.18328e-03	-3.83202e+01
5.18328e-03	-1.82438e+01
5.18328e-03	-9.62348e+00
5.18328e-03	-3.18839e+00
5.18328e-03	-1.88008e+00
5.18328e-03	-7.08348e-02
5.18328e-03	2.93097e-01
5.18328e-03	6.55588e-01
5.18329e-03	8.28012e-01
5.46041e-03	8.19017e-01
5.46041e-03	2.47885e-01
5.46042e-03	-8.18336e+00
5.46042e-03	-6.17267e+01
5.46042e-03	-1.69471e+02
5.46042e-03	-2.79088e+02
5.46042e-03	-2.87419e+02
5.46042e-03	-2.95142e+02
5.46042e-03	-2.97559e+02
5.46042e-03	-2.98502e+02
5.46042e-03	-2.99079e+02
5.46042e-03	-3.00038e+02
5.46043e-03	-3.03175e+02
5.46043e-03	-3.03815e+02
5.46043e-03	-3.04174e+02
5.46052e-03	-3.04357e+02
5.87477e-03	-3.02807e+02
5.87477e-03	-3.03176e+02
5.87478e-03	-3.03039e+02
5.87478e-03	-3.03349e+02
6.13007e-03	-3.02599e+02
6.13007e-03	-3.02376e+02
6.13007e-03	-3.01866e+02
6.13007e-03	-3.00450e+02
6.13007e-03	-3.00209e+02
6.13007e-03	-3.00555e+02
6.13007e-03	-3.01632e+02
6.13008e-03	-3.01926e+02
6.13017e-03	-3.02101e+02
6.61979e-03	-3.01248e+02
6.61979e-03	-3.01294e+02
6.61979e-03	-3.00903e+02
6.61980e-03	-2.99471e+02
6.61980e-03	-2.95602e+02
6.61980e-03	-2.90737e+02
6.61980e-03	-2.84971e+02
6.61980e-03	-2.78258e+02
6.61980e-03	-2.73219e+02
6.61980e-03	-2.67819e+02
6.61980e-03	-2.64115e+02
6.61980e-03	-2.61159e+02
6.61980e-03	-2.58953e+02
6.61980e-03	-2.54769e+02
6.61980e-03	-2.49038e+02
6.61980e-03	-2.38537e+02
6.61980e-03	-2.19452e+02
6.61980e-03	-1.89216e+02
6.61980e-03	-1.15306e+02
6.61980e-03	-5.47597e+01
6.61980e-03	-2.72006e+01
6.61980e-03	-1.42434e+01
6.61980e-03	-5.68976e+00
6.61980e-03	-4.50342e+00
6.61980e-03	-3.25752e+00
6.61980e-03	-1.73977e+00
6.61980e-03	1.42236e-01
6.61980e-03	6.64156e-01
6.61981e-03	8.89030e-01
6.61991e-03	1.03428e+00
6.70940e-03	9.61366e-01
6.70940e-03	-1.31561e-01
6.70940e-03	-6.73736e+00
6.70940e-03	-5.35383e+01
6.70940e-03	-1.55797e+02
6.70940e-03	-2.70269e+02
6.70940e-03	-2.80007e+02
6.70940e-03	-2.90086e+02
6.70940e-03	-2.94116e+02
6.70940e-03	-2.95580e+02
6.70940e-03	-2.96194e+02
6.70940e-03	-2.96776e+02
6.70941e-03	-3.00067e+02
6.70941e-03	-3.01021e+02
6.70941e-03	-3.01533e+02
6.70943e-03	-3.01857e+02
6.71043e-03	-3.01963e+02
7.20771e-03	-3.01167e+02
7.20771e-03	-3.01504e+02
7.20772e-03	-3.01401e+02
7.20772e-03	-3.01714e+02
7.46430e-03	-3.01275e+02
7.46430e-03	-3.00753e+02
7.46430e-03	-2.99198e+02
7.46430e-03	-2.98603e+02
7.46431e-03	-2.98662e+02
7.46431e-03	-2.99908e+02
7.46431e-03	-3.00368e+02
7.46431e-03	-3.00639e+02
7.46440e-03	-3.00814e+02
7.99843e-03	-3.00467e+02
7.99843e-03	-3.00576e+02
7.99843e-03	-3.00290e+02
7.99843e-03	-2.98883e+02
7.99843e-03	-2.94802e+02
7.99843e-03	-2.89399e+02
7.99843e-03	-2.83266e+02
7.99843e-03	-2.77387e+02
7.99843e-03	-2.70462e+02
7.99843e-03	-2.63623e+02
7.99843e-03	-2.60443e+02
7.99843e-03	-2.58068e+02
7.99844e-03	-2.53272e+02
7.99844e-03	-2.49129e+02
7.99844e-03	-2.40349e+02
7.99844e-03	-2.24483e+02
7.99844e-03	-1.98592e+02
7.99844e-03	-1.62978e+02
7.99844e-03	-1.28453e+02
7.99844e-03	-7.24353e+01
7.99844e-03	-3.43098e+01
7.99844e-03	-1.72202e+01
7.99844e-03	-8.42238e+00
7.99844e-03	-2.44534e+00
7.99844e-03	-7.85289e-01
7.99844e-03	5.51053e-01
7.99844e-03	7.13465e-01
7.99844e-03	8.90990e-01
7.99845e-03	1.06007e+00
8.00208e-03	1.05847e+00
8.00208e-03	5.27090e-01
8.00209e-03	-4.66845e-01
8.00209e-03	-2.32468e+01
8.00209e-03	-1.04022e+02
8.00209e-03	-2.32020e+02
8.00209e-03	-2.46868e+02
8.00209e-03	-2.68045e+02
8.00209e-03	-2.81609e+02
8.00209e-03	-2.89927e+02
8.00209e-03	-2.92869e+02
8.00209e-03	-2.94130e+02
8.00209e-03	-2.94842e+02
8.00209e-03	-2.95562e+02
8.00210e-03	-2.98834e+02
8.00210e-03	-2.99609e+02
8.00210e-03	-3.00068e+02
8.00212e-03	-3.00372e+02
8.48622e-03	-3.00299e+02
8.48622e-03	-3.00556e+02
8.48623e-03	-3.00517e+02
8.48623e-03	-2.94965e+02
8.48623e-03	-2.77973e+02
8.48623e-03	-2.18705e+02
8.48623e-03	-1.13377e+02
8.48623e-03	-1.01756e+01
8.48623e-03	-2.15338e+00
8.48623e-03	-1.05118e+00
8.48623e-03	7.74658e-01
8.48623e-03	4.37863e+00
8.48624e-03	6.28311e+00
8.48624e-03	8.06076e+00
8.48624e-03	9.46280e+00
8.48624e-03	9.67419e+00
8.48664e-03	9.78943e+00
8.78509e-03	7.19354e+00
8.88598e-03	6.45053e+00
8.88598e-03	6.07535e+00
8.88598e-03	5.06152e+00
8.88598e-03	2.91153e+00
8.88598e-03	7.89490e-02
8.88598e-03	-9.00531e+00
8.88598e-03	-1.53055e+01
8.88598e-03	-2.12219e+01
8.88598e-03	-2.48106e+01
8.88598e-03	-2.84330e+01
8.88598e-03	-3.16073e+01
8.88598e-03	-3.40902e+01
8.88598e-03	-3.56824e+01
8.88598e-03	-3.88807e+01
8.88598e-03	-4.09169e+01
8.88598e-03	-4.24487e+01
8.88598e-03	-4.55233e+01
8.88598e-03	-5.16798e+01
8.88598e-03	-6.59416e+01
8.88599e-03	-8.71853e+01
8.88599e-03	-1.17039e+02
8.88599e-03	-1.51238e+02
8.88599e-03	-1.97782e+02
8.88599e-03	-2.57043e+02
8.88599e-03	-2.78060e+02
8.88599e-03	-2.87370e+02
8.88599e-03	-2.92784e+02
8.88599e-03	-2.95634e+02
8.88599e-03	-2.97324e+02
8.88599e-03	-2.98508e+02
8.88599e-03	-2.99403e+02
8.88599e-03	-2.99762e+02
8.88599e-03	-3.00803e+02
8.88686e-03	-3.00910e+02
9.31779e-03	-3.00819e+02
9.31779e-03	-3.00927e+02
9.31779e-03	-3.00636e+02
9.31779e-03	-2.99190e+02
9.31779e-03	-2.95031e+02
9.31779e-03	-2.89560e+02
9.31779e-03	-2.83331e+02
9.31780e-03	-2.77507e+02
9.31780e-03	-2.70465e+02
9.31780e-03	-2.63765e+02
9.31780e-03	-2.60604e+02
9.31780e-03	-2.58175e+02
9.31780e-03	-2.53662e+02
9.31780e-03	-2.50319e+02
9.31780e-03	-2.42791e+02
9.31780e-03	-2.29489e+02
9.31780e-03	-2.06052e+02
9.31780e-03	-1.72921e+02
9.31780e-03	-1.39461e+02
9.31780e-03	-8.94295e+01
9.31780e-03	-3.82777e+01
9.31780e-03	-1.85286e+01
9.31780e-03	-9.43184e+00
9.31780e-03	-3.09540e+00
9.31780e-03	-1.39643e+00
9.31780e-03	-3.11156e-01
9.31780e-03	5.92118e-03
9.31780e-03	2.39822e-01
9.31835e-03	3.52173e-01
9.35049e-03	2.85818e-01
9.35049e-03	-1.08349e+00
9.35049e-03	-1.26253e+01
9.35049e-03	-7.49183e+01
9.35049e-03	-2.04266e+02
9.35049e-03	-2.21868e+02
9.35049e-03	-2.48611e+02
9.35049e-03	-2.71111e+02
9.35049e-03	-2.85251e+02
9.35049e-03	-2.93660e+02
9.35049e-03	-2.95135e+02
9.35049e-03	-2.95893e+02
9.35050e-03	-2.99610e+02
9.35050e-03	-3.00304e+02
9.35051e-03	-3.00757e+02
9.35053e-03	-3.01029e+02
9.69847e-03	-3.00930e+02
9.69848e-03	-3.00092e+02
9.69848e-03	-2.93802e+02
9.69848e-03	-2.55076e+02
9.69848e-03	-1.61090e+02
9.69848e-03	-3.82757e+01
9.69848e-03	-2.48152e+01
9.69848e-03	-2.21468e+01
9.69848e-03	-1.75784e+01
9.69848e-03	-1.05146e+01
9.69848e-03	-4.80838e+00
9.69848e-03	2.19421e+00
9.69848e-03	4.35684e+00
9.69848e-03	5.90973e+00
9.69849e-03	7.65964e+00
9.69849e-03	8.06305e+00
9.69853e-03	8.29303e+00
1.00241e-02	5.93848e+00
1.03725e-02	4.18280e+00
1.03725e-02	4.23068e+00
1.03725e-02	2.23758e+00
1.03725e-02	-4.82837e+00
1.03725e-02	-1.53014e+01
1.03725e-02	-2.47041e+01
1.03725e-02	-3.17595e+01
1.03725e-02	-3.51223e+01
1.03725e-02	-3.84109e+01
1.03725e-02	-4.10127e+01
1.03725e-02	-4.33593e+01
1.03725e-02	-1.45449e+02
1.03725e-02	-2.71517e+02
1.03725e-02	-2.92423e+02
1.03725e-02	-3.00832e+02
1.03727e-02	-3.00960e+02
1.05868e-02	-3.00955e+02
1.05868e-02	-3.00844e+02
1.05868e-02	-3.00015e+02
1.05868e-02	-2.97644e+02
1.05868e-02	-2.93214e+02
1.05868e-02	-2.82112e+02
1.05868e-02	-2.76949e+02
1.05868e-02	-2.71607e+02
1.05868e-02	-2.67021e+02
1.05868e-02	-2.63677e+02
1.05868e-02	-2.60740e+02
1.05868e-02	-2.58231e+02
1.05868e-02	-2.53925e+02
1.05868e-02	-2.47809e+02
1.05868e-02	-2.35316e+02
1.05868e-02	-2.13311e+02
1.05868e-02	-1.80718e+02
1.05868e-02	-1.39468e+02
1.05868e-02	-1.01556e+02
1.05868e-02	-3.71790e+01
1.05868e-02	-1.69375e+01
1.05868e-02	-8.41557e+00
1.05868e-02	-2.74785e+00
1.05868e-02	-1.25764e+00
1.05868e-02	-3.62336e-01
1.05868e-02	-6.16843e-02
1.05869e-02	1.44551e-01
1.07591e-02	1.46914e-01
1.07591e-02	-4.98077e-01
1.07591e-02	-1.50125e+00
1.07591e-02	-2.01617e+00
1.07591e-02	-1.11450e+02
1.07591e-02	-2.39236e+02
1.07591e-02	-2.53759e+02
1.07592e-02	-2.74775e+02
1.07592e-02	-2.85921e+02
1.07592e-02	-2.93034e+02
1.07592e-02	-2.95547e+02
1.07592e-02	-2.96482e+02
1.07592e-02	-2.96922e+02
1.07592e-02	-2.97829e+02
1.07592e-02	-3.01294e+02
1.07592e-02	-3.01827e+02
1.07592e-02	-3.02218e+02
1.07592e-02	-3.02431e+02
1.09066e-02	-3.02181e+02
1.09066e-02	-3.00524e+02
1.09066e-02	-2.84765e+02
1.09066e-02	-2.22520e+02
1.09066e-02	-1.16459e+02
1.09066e-02	-1.57322e+01
1.09066e-02	-8.46643e+00
1.09066e-02	-1.58920e+00
1.09066e-02	2.46521e-01
1.09066e-02	1.37827e+00
1.09066e-02	3.89697e+00
1.09066e-02	4.43204e+00
1.09066e-02	4.89893e+00
1.09066e-02	5.17374e+00
1.13763e-02	3.23682e+00
1.18196e-02	1.96704e+00
1.18196e-02	2.42047e+00
1.18196e-02	4.00745e+00
1.18196e-02	8.08319e+00
1.18196e-02	1.31040e+01
1.18196e-02	1.89924e+01
1.18196e-02	2.48813e+01
1.18196e-02	3.02018e+01
1.18196e-02	3.56168e+01
1.18196e-02	3.92187e+01
1.18196e-02	4.21838e+01
1.18196e-02	4.44238e+01
1.18196e-02	4.65502e+01
1.18196e-02	4.88829e+01
1.18196e-02	5.72828e+01
1.18196e-02	7.28833e+01
1.18196e-02	1.01845e+02
1.18196e-02	1.41137e+02
1.18196e-02	1.79236e+02
1.18196e-02	2.27019e+02
1.18196e-02	2.67724e+02
1.18196e-02	2.70643e+02
1.18196e-02	2.81839e+02
1.18196e-02	2.90318e+02
1.18196e-02	2.96293e+02
1.18196e-02	3.03404e+02
1.18196e-02	3.03565e+02
1.18499e-02	3.03538e+02
1.18499e-02	3.03636e+02
1.18499e-02	3.03353e+02
1.18499e-02	3.02107e+02
1.18499e-02	2.98430e+02
1.18499e-02	2.93087e+02
1.18499e-02	2.87688e+02
1.18499e-02	2.81375e+02
1.18499e-02	2.75173e+02
1.18499e-02	2.67454e+02
1.18499e-02	2.64070e+02
1.18499e-02	2.61862e+02
1.18499e-02	2.55520e+02
1.18499e-02	2.53307e+02
1.18499e-02	2.49838e+02
1.18499e-02	2.49133e+02
1.18499e-02	2.47004e+02
1.18499e-02	2.41233e+02
1.18499e-02	2.26643e+02
1.18499e-02	2.01561e+02
1.18499e-02	1.70365e+02
1.18499e-02	1.31309e+02
1.18499e-02	7.99887e+01
1.18499e-02	4.03253e+01
1.18499e-02	2.16437e+01
1.18499e-02	1.22269e+01
1.18499e-02	5.11125e+00
1.18499e-02	3.14311e+00
1.18499e-02	1.10096e+00
1.18499e-02	5.01953e-01
1.18500e-02	1.54018e-01
1.21271e-02	1.16028e-01
1.21271e-02	7.66852e-01
1.21271e-02	1.17835e+01
1.21271e-02	6.94473e+01
1.21271e-02	1.76772e+02
1.21271e-02	2.82380e+02
1.21271e-02	2.90181e+02
1.21271e-02	2.96986e+02
1.21271e-02	2.98825e+02
1.21271e-02	2.99594e+02
1.21271e-02	3.00143e+02
1.21271e-02	3.02776e+02
1.21271e-02	3.03958e+02
1.21271e-02	3.04662e+02
1.21271e-02	3.05019e+02
1.21272e-02	3.05235e+02
1.22193e-02	3.04780e+02
1.22193e-02	3.04158e+02
1.22193e-02	2.99465e+02
1.22193e-02	2.65651e+02
1.22193e-02	1.77675e+02
1.22193e-02	5.39881e+01
1.22193e-02	4.04724e+01
1.22193e-02	2.19468e+01
1.22193e-02	1.32460e+01
1.22193e-02	8.27624e+00
1.22193e-02	6.48850e+00
1.22193e-02	5.78223e+00
1.22193e-02	5.28693e+00
1.22193e-02	1.55649e+00
1.22193e-02	8.55957e-01
1.22193e-02	4.66766e-01
1.22194e-02	2.54608e-01
1.30318e-02	4.43420e-02
1.30318e-02	-7.57751e-02
1.30318e-02	1.24146e-01
1.30318e-02	1.23111e+00
1.30318e-02	4.37500e+00
1.30318e-02	9.13242e+00
1.30318e-02	1.55442e+01
1.30318e-02	2.12359e+01
1.30318e-02	2.79014e+01
1.30318e-02	3.54772e+01
1.30318e-02	3.91058e+01
1.30318e-02	4.14047e+01
