time	V(a)
1.09066e-02	1.65664e+01
1.09066e-02	7.88120e+01
1.09066e-02	1.84873e+02
1.09066e-02	2.85600e+02
1.09066e-02	2.92865e+02
1.09066e-02	2.99743e+02
1.09066e-02	3.01578e+02
1.09066e-02	3.02710e+02
1.09066e-02	3.05229e+02
1.09066e-02	3.05764e+02
1.09066e-02	3.06231e+02
1.09066e-02	3.06505e+02
1.13441e-02	3.04138e+02
1.18209e-02	3.02468e+02
1.18499e-02	3.02453e+02
1.18499e-02	3.02551e+02
1.18499e-02	3.02268e+02
1.18499e-02	3.01022e+02
1.18499e-02	2.97345e+02
1.18499e-02	2.92002e+02
1.18499e-02	2.86603e+02
1.18499e-02	2.80291e+02
1.18499e-02	2.74088e+02
1.18499e-02	2.66370e+02
1.18499e-02	2.62985e+02
1.18499e-02	2.60777e+02
1.18499e-02	2.54435e+02
1.18499e-02	2.52222e+02
1.18499e-02	2.48753e+02
1.18499e-02	2.48049e+02
1.18499e-02	2.45920e+02
1.18499e-02	2.40148e+02
1.18499e-02	2.25559e+02
1.18499e-02	2.00476e+02
1.18499e-02	1.69280e+02
1.18499e-02	1.30225e+02
1.18499e-02	7.89041e+01
1.18499e-02	3.92407e+01
1.18499e-02	2.05591e+01
1.18499e-02	1.11423e+01
1.18499e-02	4.02666e+00
1.18499e-02	2.05852e+00
1.18499e-02	1.63753e-02
1.18499e-02	-5.82632e-01
1.18500e-02	-9.30566e-01
1.21271e-02	-8.81698e-01
1.21271e-02	-2.30873e-01
1.21271e-02	1.07858e+01
1.21271e-02	6.84495e+01
1.21271e-02	1.75774e+02
1.21271e-02	2.81382e+02
1.21271e-02	2.89183e+02
1.21271e-02	2.95988e+02
1.21271e-02	2.97827e+02
1.21271e-02	2.98596e+02
1.21271e-02	2.99145e+02
1.21271e-02	3.01778e+02
1.21271e-02	3.02960e+02
1.21271e-02	3.03664e+02
1.21271e-02	3.04022e+02
1.21272e-02	3.04238e+02
1.25918e-02	3.02568e+02
1.31931e-02	3.01309e+02
1.32865e-02	3.01219e+02
1.32865e-02	3.01000e+02
1.32865e-02	2.99848e+02
1.32865e-02	2.96781e+02
1.32865e-02	2.91971e+02
1.32865e-02	2.86187e+02
1.32865e-02	2.80321e+02
1.32865e-02	2.73339e+02
1.32865e-02	2.69575e+02
1.32865e-02	2.65892e+02
1.32865e-02	2.62869e+02
1.32865e-02	2.60200e+02
1.32865e-02	2.53942e+02
1.32865e-02	2.51382e+02
1.32865e-02	2.45786e+02
1.32865e-02	2.35798e+02
1.32865e-02	2.15220e+02
1.32865e-02	1.86748e+02
1.32865e-02	1.53253e+02
1.32865e-02	1.11909e+02
1.32865e-02	4.95069e+01
1.32865e-02	2.42097e+01
1.32865e-02	1.10247e+01
1.32865e-02	1.07825e+01
1.32865e-02	-8.91836e-01
1.32865e-02	-1.06064e+00
1.33761e-02	-9.81241e-01
1.33761e-02	2.95660e-01
1.33761e-02	2.70629e+01
1.33761e-02	1.14147e+02
1.33761e-02	2.41583e+02
1.33761e-02	2.55631e+02
1.33761e-02	2.75295e+02
1.33761e-02	2.86197e+02
1.33761e-02	2.92757e+02
1.33761e-02	2.94961e+02
1.33761e-02	2.95949e+02
1.33761e-02	2.96460e+02
1.33761e-02	2.97443e+02
1.33761e-02	3.00408e+02
1.33761e-02	3.01188e+02
1.33761e-02	3.01608e+02
1.33761e-02	3.01891e+02
1.41792e-02	3.00759e+02
