time	V(a)
1.19118e-02	2.62015e+02
1.19118e-02	2.59716e+02
1.19118e-02	2.55007e+02
1.19118e-02	2.49583e+02
1.19118e-02	2.39135e+02
1.19118e-02	2.19368e+02
1.19118e-02	1.89808e+02
1.19118e-02	1.53729e+02
1.19118e-02	1.16655e+02
1.19118e-02	5.26944e+01
1.19118e-02	2.58166e+01
1.19118e-02	1.36885e+01
1.19118e-02	6.13067e+00
1.19118e-02	2.08905e+00
1.19118e-02	5.06624e-01
1.19118e-02	-4.23482e-01
1.19118e-02	-8.06882e-01
1.19119e-02	-9.85421e-01
1.20711e-02	-9.77429e-01
1.20711e-02	-3.34584e-01
1.20711e-02	3.79321e+00
1.20711e-02	4.77295e+01
1.20711e-02	1.52282e+02
1.20711e-02	2.70443e+02
1.20711e-02	2.80416e+02
1.20711e-02	2.90864e+02
1.20711e-02	2.95359e+02
1.20711e-02	2.96944e+02
1.20711e-02	2.97693e+02
1.20711e-02	2.98297e+02
1.20712e-02	3.01743e+02
1.20712e-02	3.02591e+02
1.20712e-02	3.03018e+02
1.20712e-02	3.03286e+02
1.26583e-02	3.01740e+02
1.33966e-02	3.00730e+02
1.46255e-02	3.00095e+02
1.73232e-02	2.99902e+02
1.73232e-02	2.99941e+02
1.73232e-02	2.99485e+02
1.73232e-02	2.97855e+02
1.73232e-02	2.93679e+02
1.73232e-02	2.88490e+02
1.73232e-02	2.82502e+02
1.73232e-02	2.76687e+02
1.73232e-02	2.71399e+02
1.73232e-02	2.65871e+02
1.73232e-02	2.62325e+02
1.73232e-02	2.59377e+02
1.73232e-02	2.57039e+02
1.73232e-02	2.52872e+02
1.73232e-02	2.49676e+02
1.73232e-02	2.42496e+02
1.73232e-02	2.30218e+02
1.73232e-02	2.07364e+02
1.73232e-02	1.75109e+02
1.73232e-02	1.41263e+02
1.73232e-02	9.49851e+01
1.73232e-02	3.82282e+01
1.73232e-02	1.77037e+01
1.73232e-02	8.57942e+00
1.73232e-02	2.23364e+00
1.73232e-02	5.47334e-01
1.73232e-02	-4.83725e-01
1.73232e-02	-8.07679e-01
1.73232e-02	-1.01906e+00
1.73461e-02	-1.08313e+00
1.73461e-02	-5.46975e-01
1.73461e-02	4.40422e-01
1.73461e-02	1.67239e+01
1.73461e-02	8.66619e+01
1.73461e-02	2.14904e+02
1.73461e-02	2.31296e+02
1.73461e-02	2.56237e+02
1.73461e-02	2.74562e+02
1.73461e-02	2.86644e+02
1.73461e-02	2.92176e+02
1.73461e-02	2.93715e+02
1.73461e-02	2.94448e+02
1.73461e-02	2.95190e+02
1.73461e-02	2.98454e+02
1.73461e-02	2.99238e+02
1.73461e-02	2.99712e+02
1.73461e-02	3.00025e+02
1.85271e-02	2.99918e+02
1.85271e-02	2.99412e+02
1.85271e-02	2.97627e+02
1.85271e-02	2.93330e+02
1.85271e-02	2.87870e+02
1.85271e-02	2.81890e+02
1.85271e-02	2.76434e+02
1.85271e-02	2.71670e+02
1.85271e-02	2.67688e+02
1.85271e-02	2.64571e+02
1.85271e-02	2.62044e+02
1.85271e-02	2.59993e+02
1.85271e-02	2.57953e+02
1.85271e-02	2.52328e+02
1.85271e-02	2.50579e+02
1.85271e-02	2.48310e+02
1.85271e-02	7.77687e+01
1.85271e-02	4.19810e+01
1.85271e-02	2.27182e+01
1.85271e-02	-8.79981e-01
1.85271e-02	-1.05658e+00
1.88467e-02	-9.60227e-01
1.88467e-02	8.67748e-02
1.88467e-02	1.99160e+01
1.88467e-02	9.53873e+01
1.88467e-02	2.23374e+02
1.88467e-02	2.40328e+02
1.88467e-02	2.53544e+02
1.88467e-02	2.65156e+02
1.88467e-02	2.72073e+02
1.88467e-02	2.90938e+02
1.88467e-02	2.97434e+02
1.88467e-02	2.98614e+02
1.88467e-02	3.01226e+02
1.88467e-02	3.01988e+02
1.88467e-02	3.02394e+02
1.88467e-02	3.02661e+02
1.94834e-02	3.01322e+02
1.97068e-02	3.01084e+02
1.97068e-02	3.01224e+02
1.97068e-02	3.01065e+02
1.97068e-02	2.99983e+02
1.97068e-02	2.97172e+02
1.97068e-02	2.92512e+02
1.97068e-02	2.87195e+02
1.97068e-02	2.81357e+02
1.97068e-02	2.73206e+02
1.97068e-02	2.65840e+02
1.97068e-02	2.62162e+02
1.97068e-02	2.59788e+02
1.97068e-02	2.55097e+02
1.97068e-02	2.51001e+02
1.97068e-02	2.44210e+02
1.97068e-02	2.33917e+02
1.97068e-02	6.76861e+01
1.97068e-02	4.97497e+01
1.97068e-02	2.95809e+01
1.97068e-02	-8.50447e-01
1.97068e-02	-1.02057e+00
2.03860e-02	-8.89537e-01
2.03860e-02	-4.20065e-01
2.03860e-02	6.63346e+00
2.03860e-02	4.86442e+01
2.03860e-02	1.44207e+02
2.03860e-02	2.65483e+02
2.03860e-02	2.78630e+02
2.03860e-02	2.94145e+02
2.03860e-02	3.00549e+02
2.03860e-02	3.01754e+02
2.03860e-02	3.04228e+02
2.03860e-02	3.04955e+02
2.03860e-02	3.05288e+02
2.03861e-02	3.05465e+02
2.07917e-02	3.03544e+02
2.08818e-02	3.03255e+02
2.08818e-02	3.03334e+02
2.08818e-02	3.01913e+02
2.08818e-02	2.95907e+02
2.08818e-02	2.85792e+02
2.08818e-02	2.75904e+02
2.08818e-02	2.68227e+02
2.08818e-02	2.64643e+02
2.08818e-02	2.61034e+02
2.08818e-02	2.58346e+02
2.08818e-02	2.55858e+02
2.08818e-02	1.52512e+02
2.08818e-02	2.63184e+01
2.08818e-02	6.07377e+00
2.08818e-02	-8.76178e-01
2.08824e-02	-9.87704e-01
2.32082e-02	-6.84333e-01
2.34633e-02	-5.76854e-01
2.34633e-02	-3.77403e-01
2.34639e-02	-4.88870e-01
2.45416e-02	-2.02051e-01
2.45416e-02	-5.00300e-01
2.45416e-02	-4.84728e-01
2.45416e-02	-6.59168e-01
2.47966e-02	-5.68271e-01
2.47966e-02	-3.84643e-01
2.47966e-02	1.23329e+00
2.47966e-02	1.32961e+00
2.47966e-02	4.48876e-01
2.47966e-02	6.81801e-02
2.47967e-02	-1.19021e-01
2.58749e-02	-1.04231e-01
2.58749e-02	-3.92774e-01
2.58749e-02	-3.37782e-01
2.58749e-02	-6.37191e-01
2.61300e-02	-5.36916e-01
2.61300e-02	-2.03307e-01
2.61300e-02	3.73719e-01
2.61300e-02	2.03519e+00
2.61300e-02	2.05663e+00
2.61300e-02	1.65700e+00
2.61300e-02	4.96481e-01
2.61300e-02	1.57649e-01
2.61301e-02	-2.53945e-02
2.72081e-02	-2.56990e-02
2.72081e-02	-3.56091e-01
2.72081e-02	-2.47713e-01
2.72081e-02	-6.19778e-01
2.74634e-02	-4.73623e-01
2.74634e-02	-1.39738e-01
2.74634e-02	3.63805e-01
2.74634e-02	1.92473e+00
2.74634e-02	2.33240e+00
2.74634e-02	2.09144e+00
2.74634e-02	7.84428e-01
2.74634e-02	3.80447e-01
2.74634e-02	1.29956e-01
2.74636e-02	-2.63881e-03
2.85242e-02	-5.41317e-02
2.85242e-02	-3.44172e-01
2.85242e-02	-3.31040e-01
2.85242e-02	-6.20005e-01
2.85246e-02	-4.74194e-01
2.85329e-02	-4.81818e-01
2.85329e-02	3.12422e+01
2.85329e-02	1.07517e+02
2.85329e-02	2.06143e+02
2.85329e-02	2.91282e+02
2.85329e-02	3.01389e+02
2.85329e-02	3.05856e+02
2.85329e-02	3.07014e+02
2.85329e-02	3.09026e+02
2.85329e-02	3.09704e+02
2.85329e-02	3.09903e+02
2.88467e-02	3.07213e+02
2.88467e-02	3.07255e+02
2.88467e-02	3.05411e+02
2.88467e-02	2.98623e+02
2.88467e-02	2.88257e+02
2.88467e-02	2.78821e+02
2.88467e-02	2.71814e+02
2.88467e-02	2.68661e+02
2.88467e-02	2.65724e+02
2.88467e-02	2.63447e+02
2.88467e-02	2.59168e+02
2.88467e-02	1.57961e+02
2.88467e-02	3.68420e+01
2.88467e-02	2.37880e+01
2.88467e-02	2.14629e+01
2.88467e-02	6.78836e+00
2.88467e-02	-6.39025e-01
2.88467e-02	-7.90785e-01
2.97068e-02	-7.31824e-01
2.97068e-02	6.93728e-01
2.97068e-02	8.91091e+00
2.97068e-02	5.24531e+01
2.97068e-02	1.50787e+02
2.97068e-02	2.72575e+02
2.97068e-02	2.74235e+02
2.97068e-02	2.76993e+02
2.97068e-02	2.81821e+02
2.97068e-02	2.89071e+02
2.97068e-02	2.97904e+02
2.97068e-02	3.02017e+02
2.97068e-02	3.03263e+02
2.97068e-02	3.03893e+02
2.97068e-02	3.04446e+02
2.97068e-02	3.07615e+02
2.97068e-02	3.08444e+02
2.97068e-02	3.08696e+02
2.97071e-02	3.08823e+02
3.00007e-02	3.06476e+02
3.03738e-02	3.04356e+02
3.03860e-02	3.04316e+02
3.03860e-02	3.04205e+02
3.03860e-02	3.01602e+02
3.03860e-02	2.93793e+02
3.03860e-02	2.83257e+02
3.03860e-02	2.74370e+02
3.03860e-02	2.67795e+02
3.03860e-02	2.63937e+02
3.03860e-02	2.60346e+02
3.03860e-02	2.34759e+02
3.03860e-02	1.53607e+02
3.03860e-02	2.78957e+01
3.03860e-02	7.45335e+00
3.03860e-02	-8.12519e-01
3.03862e-02	-9.40639e-01
3.08818e-02	-8.58370e-01
3.08818e-02	-6.39378e-01
3.08818e-02	4.60859e+00
3.08818e-02	3.72818e+01
