time	V(a)
9.69266e-03	3.04625e+02
9.69267e-03	3.07161e+02
9.69267e-03	3.07568e+02
9.69267e-03	3.07860e+02
9.69275e-03	3.08054e+02
1.00002e-02	3.05824e+02
1.03640e-02	3.03971e+02
1.03640e-02	3.03983e+02
1.03640e-02	3.03558e+02
1.03640e-02	3.02253e+02
1.03640e-02	2.99255e+02
1.03640e-02	2.95482e+02
1.03640e-02	2.84378e+02
1.03640e-02	2.79543e+02
1.03640e-02	2.74297e+02
1.03640e-02	2.69999e+02
1.03640e-02	2.66421e+02
1.03640e-02	2.64002e+02
1.03640e-02	2.61963e+02
1.03640e-02	2.56500e+02
1.03640e-02	2.54371e+02
1.03640e-02	2.39821e+02
1.03640e-02	1.20202e+02
1.03640e-02	3.34198e+01
1.03640e-02	-7.69265e-01
1.03641e-02	-9.36621e-01
1.09240e-02	-7.66632e-01
1.09240e-02	-1.12187e-01
1.09240e-02	1.05148e-01
1.09240e-02	4.25301e+01
1.09240e-02	1.33971e+02
1.09240e-02	2.58948e+02
1.09240e-02	2.72058e+02
1.09240e-02	2.88921e+02
1.09240e-02	2.95874e+02
1.09240e-02	2.99474e+02
1.09240e-02	3.00873e+02
1.09240e-02	3.01417e+02
1.09240e-02	3.02116e+02
1.09240e-02	3.05653e+02
1.09240e-02	3.06179e+02
1.09240e-02	3.06457e+02
1.09269e-02	3.06539e+02
1.12910e-02	3.04444e+02
1.17408e-02	3.02734e+02
1.18106e-02	3.02625e+02
1.18106e-02	3.02210e+02
1.18106e-02	3.00708e+02
1.18106e-02	2.96112e+02
1.18106e-02	2.90427e+02
1.18106e-02	2.84937e+02
1.18106e-02	2.78537e+02
1.18106e-02	2.73360e+02
1.18106e-02	2.66832e+02
1.18106e-02	2.63607e+02
1.18106e-02	2.61301e+02
1.18106e-02	2.55378e+02
1.18106e-02	2.52120e+02
1.18106e-02	2.44694e+02
1.18106e-02	2.32056e+02
1.18106e-02	2.08887e+02
1.18106e-02	1.75900e+02
1.18106e-02	1.42771e+02
1.18106e-02	9.53820e+01
1.18106e-02	4.12093e+01
1.18106e-02	2.03884e+01
1.18106e-02	1.10136e+01
1.18106e-02	3.90333e+00
1.18106e-02	1.96726e+00
1.18106e-02	7.15178e-02
1.18106e-02	-6.26518e-01
1.18106e-02	-8.75818e-01
1.18107e-02	-1.01479e+00
1.21658e-02	-8.78054e-01
1.21659e-02	-3.34452e-01
1.21659e-02	9.02024e+00
1.21659e-02	6.22249e+01
1.21659e-02	1.67766e+02
1.21659e-02	2.78695e+02
1.21659e-02	2.87435e+02
1.21659e-02	2.95568e+02
1.21659e-02	2.98003e+02
1.21659e-02	2.98948e+02
1.21659e-02	2.99514e+02
1.21659e-02	3.00072e+02
1.21659e-02	3.03497e+02
1.21659e-02	3.04221e+02
1.21659e-02	3.04582e+02
1.21659e-02	3.04776e+02
1.26042e-02	3.02984e+02
1.31481e-02	3.01635e+02
1.32266e-02	3.01558e+02
1.32266e-02	3.01660e+02
1.32266e-02	3.01371e+02
1.32266e-02	3.00047e+02
1.32266e-02	2.96203e+02
1.32266e-02	2.91114e+02
1.32266e-02	2.85265e+02
1.32266e-02	2.79223e+02
1.32266e-02	2.72714e+02
1.32266e-02	2.65322e+02
1.32266e-02	2.62043e+02
1.32266e-02	2.59771e+02
1.32266e-02	2.55299e+02
1.32266e-02	2.51599e+02
1.32266e-02	2.45401e+02
1.32266e-02	2.33265e+02
1.32266e-02	2.09310e+02
1.32266e-02	1.76434e+02
1.32266e-02	1.43291e+02
1.32266e-02	9.65314e+01
1.32266e-02	3.76928e+01
1.32266e-02	1.75437e+01
1.32266e-02	8.87777e+00
1.32266e-02	2.81423e+00
1.32266e-02	1.14023e+00
1.32266e-02	1.94190e-01
1.32266e-02	-5.19505e-01
1.32266e-02	-8.12146e-01
1.32266e-02	-9.94871e-01
1.34320e-02	-1.00736e+00
1.34320e-02	-5.29427e-02
1.34320e-02	1.51093e+01
1.34320e-02	8.21623e+01
1.34320e-02	2.08645e+02
1.34320e-02	2.25671e+02
1.34320e-02	2.53691e+02
1.34320e-02	2.73893e+02
1.34320e-02	2.87876e+02
1.34320e-02	2.95625e+02
1.34320e-02	2.96258e+02
1.34320e-02	2.96748e+02
1.34320e-02	2.97363e+02
1.34320e-02	2.97852e+02
1.34320e-02	2.99031e+02
1.34320e-02	3.01982e+02
1.34320e-02	3.02530e+02
1.34320e-02	3.02894e+02
1.34321e-02	3.03082e+02
1.39802e-02	3.01685e+02
1.45981e-02	3.00856e+02
1.45982e-02	3.01038e+02
1.45982e-02	3.00575e+02
1.45982e-02	2.99069e+02
1.45982e-02	2.95968e+02
1.45982e-02	2.91765e+02
1.45982e-02	2.85841e+02
1.45982e-02	2.79319e+02
1.45982e-02	2.71332e+02
1.45982e-02	2.64077e+02
1.45982e-02	2.60851e+02
1.45982e-02	2.58236e+02
1.45982e-02	2.52910e+02
1.45982e-02	2.49757e+02
1.45982e-02	2.42684e+02
1.45982e-02	2.27877e+02
1.45982e-02	2.05060e+02
1.45982e-02	1.73366e+02
1.45982e-02	1.38151e+02
1.45982e-02	8.78320e+01
1.45982e-02	3.95900e+01
