time	V(tri)
2.45683e-02	4.98532e+00
2.46918e-02	1.97883e-02
2.48149e-02	4.99831e+00
2.49389e-02	2.62835e-02
2.50618e-02	4.99887e+00
2.51860e-02	3.15416e-02
2.53087e-02	4.99769e+00
2.54332e-02	4.62462e-02
2.55557e-02	4.99283e+00
2.56801e-02	4.21389e-02
2.58026e-02	4.99402e+00
2.59270e-02	4.45634e-02
2.60494e-02	4.99864e+00
2.61740e-02	4.59340e-02
2.62970e-02	4.96976e+00
2.64204e-02	2.60073e-02
2.65439e-02	4.97118e+00
2.66674e-02	3.03036e-02
2.67913e-02	4.95171e+00
2.69147e-02	4.34619e-02
2.70371e-02	4.99942e+00
2.71617e-02	4.75727e-02
2.72840e-02	4.99747e+00
2.74082e-02	3.12518e-02
2.75310e-02	4.99478e+00
2.76554e-02	4.17609e-02
2.77778e-02	4.99932e+00
2.79020e-02	2.98969e-02
2.80250e-02	4.98650e+00
2.81490e-02	3.50429e-02
2.82716e-02	4.99908e+00
2.83958e-02	2.94959e-02
2.85187e-02	4.99369e+00
2.86421e-02	4.72500e-03
2.87654e-02	4.99935e+00
2.88897e-02	3.14123e-02
2.90124e-02	4.99835e+00
2.91370e-02	4.95512e-02
2.92593e-02	4.99884e+00
2.93835e-02	3.09996e-02
2.95062e-02	4.99894e+00
2.96306e-02	3.95779e-02
2.97531e-02	4.99920e+00
2.98772e-02	2.78876e-02
3.00011e-02	4.95658e+00
3.01242e-02	3.11690e-02
3.02479e-02	4.96017e+00
3.03713e-02	3.59634e-02
3.04950e-02	4.95427e+00
3.06180e-02	2.81871e-02
3.07418e-02	4.95544e+00
3.08643e-02	4.01657e-03
3.09879e-02	4.98815e+00
3.11112e-02	4.48184e-03
3.12346e-02	4.99774e+00
3.13584e-02	1.53593e-02
3.14815e-02	4.99728e+00
3.16058e-02	3.39510e-02
3.17284e-02	4.99870e+00
3.18527e-02	3.44411e-02
3.19754e-02	4.99627e+00
3.20996e-02	3.43574e-02
3.22224e-02	4.99339e+00
3.23464e-02	3.04342e-02
3.24692e-02	4.99875e+00
3.25938e-02	4.94533e-02
3.27163e-02	4.98807e+00
3.28403e-02	3.03080e-02
3.29636e-02	4.97433e+00
3.30875e-02	4.19839e-02
3.32107e-02	4.96776e+00
3.33344e-02	4.42159e-02
3.34576e-02	4.96553e+00
3.35814e-02	4.86860e-02
3.37037e-02	4.99920e+00
3.38280e-02	3.21350e-02
3.39515e-02	4.96270e+00
3.40753e-02	4.93444e-02
3.41976e-02	4.99848e+00
3.43221e-02	4.54126e-02
3.44445e-02	4.99576e+00
3.45686e-02	2.70619e-02
3.46922e-02	4.96779e+00
3.48160e-02	4.68784e-02
3.49383e-02	4.99827e+00
3.50629e-02	4.62126e-02
3.51855e-02	4.98699e+00
3.53094e-02	3.07262e-02
3.54321e-02	4.99937e+00
3.55563e-02	3.05680e-02
3.56790e-02	4.99940e+00
3.58028e-02	1.34787e-02
3.59260e-02	4.99635e+00
3.60505e-02	4.52686e-02
3.61729e-02	4.99859e+00
3.62972e-02	3.52086e-02
3.64198e-02	4.99928e+00
3.65444e-02	4.63889e-02
3.66677e-02	4.95840e+00
3.67908e-02	2.78839e-02
3.69143e-02	4.97013e+00
3.70380e-02	3.83110e-02
3.71615e-02	4.95805e+00
3.72850e-02	4.10531e-02
3.74075e-02	4.99740e+00
3.75318e-02	3.86758e-02
3.76544e-02	4.99699e+00
3.77779e-02	4.32033e-03
3.79013e-02	4.99834e+00
3.80255e-02	3.31555e-02
3.81482e-02	4.99722e+00
3.82726e-02	4.01214e-02
3.83951e-02	4.99724e+00
3.85195e-02	3.83250e-02
