time	V(A,B)
3.69738e-03	-2.19991e+02
3.69738e-03	-1.24060e+02
3.69738e-03	-1.80625e+01
3.69738e-03	-9.73092e+00
3.69738e-03	1.40842e-01
3.69743e-03	3.04659e-01
4.25729e-03	2.60058e-01
4.25729e-03	2.02641e-01
4.25729e-03	-5.65246e+00
4.25729e-03	-3.33254e+01
4.25730e-03	-1.08163e+02
4.25730e-03	-2.31601e+02
4.25730e-03	-2.47447e+02
4.25730e-03	-2.72895e+02
4.25730e-03	-2.87200e+02
4.25730e-03	-2.88815e+02
4.25730e-03	-2.98387e+02
4.25730e-03	-3.02544e+02
4.25730e-03	-3.03570e+02
4.25730e-03	-3.06227e+02
4.25731e-03	-3.06707e+02
4.25732e-03	-3.06987e+02
4.54119e-03	-3.05305e+02
4.54119e-03	-3.05462e+02
4.79688e-03	-3.04254e+02
4.79688e-03	-3.03455e+02
4.79688e-03	-3.03837e+02
4.79703e-03	-3.03987e+02
5.14390e-03	-3.02798e+02
5.14390e-03	-3.00606e+02
5.14391e-03	-2.93240e+02
5.14391e-03	-2.82684e+02
5.14391e-03	-2.73381e+02
5.14391e-03	-2.66381e+02
5.14391e-03	-2.62915e+02
5.14391e-03	-2.56268e+02
5.14391e-03	-2.48029e+02
5.14391e-03	-2.34294e+02
5.14391e-03	-2.06328e+02
5.14391e-03	-1.68938e+02
5.14391e-03	-1.32595e+02
5.14391e-03	-8.61305e+01
5.14391e-03	-3.95113e+01
5.14391e-03	-1.99262e+01
5.14391e-03	-1.07722e+01
5.14391e-03	-4.00159e+00
5.14391e-03	-2.11812e+00
5.14391e-03	-2.66129e-01
5.14391e-03	1.54257e-01
5.14391e-03	5.85427e-01
5.14392e-03	7.61901e-01
5.49918e-03	7.53446e-01
5.49918e-03	5.05393e-02
5.49918e-03	-2.21055e+01
5.49919e-03	-1.01073e+02
5.49919e-03	-2.28452e+02
5.49919e-03	-2.44028e+02
5.49919e-03	-2.68487e+02
5.49919e-03	-2.82600e+02
5.49919e-03	-2.92757e+02
5.49919e-03	-2.97693e+02
5.49919e-03	-2.99027e+02
5.49919e-03	-2.99608e+02
5.49919e-03	-3.00145e+02
5.49919e-03	-3.03501e+02
5.49920e-03	-3.04315e+02
5.49920e-03	-3.04697e+02
5.49926e-03	-3.04914e+02
5.87438e-03	-3.03331e+02
5.87438e-03	-3.03679e+02
5.87439e-03	-3.03617e+02
5.87439e-03	-3.03840e+02
6.13047e-03	-3.02950e+02
6.13048e-03	-3.01752e+02
6.13048e-03	-3.01044e+02
6.13048e-03	-3.00678e+02
6.13048e-03	-3.00910e+02
6.13048e-03	-3.01981e+02
6.13048e-03	-3.02306e+02
6.13058e-03	-3.02486e+02
6.55994e-03	-3.01525e+02
6.55994e-03	-3.00999e+02
6.55995e-03	-2.99359e+02
6.55995e-03	-2.95296e+02
6.55995e-03	-2.90324e+02
6.55995e-03	-2.84704e+02
6.55995e-03	-2.78654e+02
6.55995e-03	-2.73947e+02
6.55995e-03	-2.69869e+02
6.55995e-03	-2.67134e+02
6.55995e-03	-2.64412e+02
6.55995e-03	-2.62158e+02
6.55995e-03	-2.60146e+02
6.55995e-03	-2.54872e+02
6.55995e-03	-2.51907e+02
6.55995e-03	-2.46902e+02
6.55995e-03	-2.36753e+02
6.55995e-03	-2.15173e+02
6.55995e-03	-1.86000e+02
6.55995e-03	-1.51119e+02
6.55995e-03	-1.11157e+02
6.55995e-03	-4.56225e+01
6.55995e-03	-2.17754e+01
6.55995e-03	-1.14611e+01
6.55995e-03	-3.15396e+00
6.55995e-03	-2.76495e+00
6.55996e-03	8.67736e-01
6.56008e-03	1.00965e+00
6.76532e-03	9.85791e-01
6.76532e-03	8.19064e-02
6.76532e-03	-1.23657e+01
6.76532e-03	-7.47848e+01
6.76532e-03	-2.01049e+02
6.76532e-03	-2.18649e+02
6.76532e-03	-2.47955e+02
6.76532e-03	-2.71063e+02
6.76532e-03	-2.86946e+02
6.76532e-03	-2.94871e+02
6.76532e-03	-2.96885e+02
6.76533e-03	-2.97563e+02
6.76533e-03	-2.98180e+02
6.76533e-03	-3.01967e+02
6.76533e-03	-3.02547e+02
6.76534e-03	-3.02922e+02
6.76542e-03	-3.03118e+02
7.19820e-03	-3.01996e+02
7.19821e-03	-3.02330e+02
7.19821e-03	-3.02239e+02
7.19822e-03	-3.02539e+02
7.24842e-03	-3.02379e+02
7.24842e-03	-3.01553e+02
7.24842e-03	-2.75379e+02
7.24842e-03	-2.02716e+02
7.24842e-03	-1.03412e+02
7.24842e-03	-1.54746e+01
7.24842e-03	-8.44699e+00
7.24842e-03	-3.24921e-01
7.24842e-03	2.86569e+00
7.24842e-03	4.60220e+00
7.24843e-03	6.27283e+00
7.24843e-03	7.50165e+00
7.24843e-03	7.83835e+00
7.24843e-03	8.05884e+00
7.24875e-03	8.16385e+00
7.47388e-03	6.53006e+00
7.47388e-03	6.76614e+00
7.47389e-03	6.41571e+00
7.47389e-03	6.04456e+00
7.47389e-03	2.55499e+00
7.47389e-03	2.03082e+00
7.47389e-03	1.43430e+00
7.47389e-03	8.15796e-01
7.47389e-03	-1.77809e+01
7.47390e-03	-4.23206e+01
7.47390e-03	-7.25098e+01
7.47390e-03	-1.05951e+02
7.47390e-03	-1.53134e+02
7.47390e-03	-2.05007e+02
7.47390e-03	-2.52518e+02
7.47390e-03	-2.81596e+02
7.47390e-03	-2.95935e+02
7.47390e-03	-3.00751e+02
7.47391e-03	-3.02119e+02
7.93148e-03	-3.01591e+02
7.93148e-03	-3.01170e+02
7.93148e-03	-2.99663e+02
7.93148e-03	-2.95685e+02
7.93149e-03	-2.90741e+02
7.93149e-03	-2.84906e+02
7.93149e-03	-2.78921e+02
7.93149e-03	-2.73582e+02
7.93149e-03	-2.68225e+02
7.93149e-03	-2.64537e+02
7.93149e-03	-2.61527e+02
7.93149e-03	-2.59290e+02
7.93149e-03	-2.55034e+02
7.93149e-03	-2.48923e+02
7.93149e-03	-2.37644e+02
7.93149e-03	-2.17198e+02
7.93149e-03	-1.85724e+02
7.93149e-03	-1.47236e+02
7.93149e-03	-1.09779e+02
7.93149e-03	-4.58046e+01
7.93149e-03	-2.22084e+01
7.93149e-03	-1.18860e+01
7.93149e-03	-3.91935e+00
7.93149e-03	-1.85593e+00
7.93149e-03	-4.19372e-01
7.93149e-03	1.66568e-02
7.93149e-03	2.53673e-01
7.93166e-03	3.89756e-01
8.06787e-03	3.00639e-01
8.06787e-03	-3.86819e-01
8.06788e-03	-1.71320e+00
8.06788e-03	-2.15963e+00
8.06788e-03	-2.92566e+00
8.06788e-03	-1.21404e+02
8.06788e-03	-2.49207e+02
8.06788e-03	-2.62723e+02
8.06788e-03	-2.80746e+02
8.06788e-03	-2.89771e+02
8.06788e-03	-2.94570e+02
8.06788e-03	-2.96226e+02
8.06788e-03	-2.97033e+02
8.06788e-03	-2.97607e+02
8.06789e-03	-3.01314e+02
8.06789e-03	-3.01993e+02
8.06789e-03	-3.02392e+02
8.06793e-03	-3.02642e+02
8.45782e-03	-3.01980e+02
8.45782e-03	-3.00966e+02
8.45782e-03	-2.78085e+02
8.45782e-03	-2.08218e+02
8.45782e-03	-8.82651e+01
8.45782e-03	-7.20957e+01
8.45782e-03	-4.43042e+01
8.45782e-03	-2.26264e+01
8.45782e-03	-8.88184e+00
8.45782e-03	-1.43939e+00
8.45782e-03	1.66873e+00
8.45782e-03	2.69846e+00
8.45782e-03	3.15216e+00
8.45782e-03	4.22418e+00
8.45783e-03	6.78949e+00
8.45783e-03	7.59558e+00
8.45784e-03	7.82095e+00
8.45829e-03	7.93307e+00
8.76484e-03	5.78537e+00
8.91079e-03	5.07150e+00
8.91079e-03	5.12109e+00
8.91079e-03	4.96786e+00
8.91079e-03	4.30701e+00
8.91079e-03	2.79471e+00
8.91079e-03	-9.27426e+00
8.91079e-03	-1.98277e+01
8.91079e-03	-2.76018e+01
8.91080e-03	-3.27759e+01
8.91080e-03	-3.65543e+01
8.91080e-03	-4.00033e+01
8.91080e-03	-7.17434e+01
8.91080e-03	-1.60703e+02
8.91080e-03	-2.75815e+02
8.91080e-03	-2.85319e+02
8.91080e-03	-2.94335e+02
8.91080e-03	-3.01457e+02
8.91084e-03	-3.01618e+02
9.25582e-03	-3.01346e+02
9.25582e-03	-3.01475e+02
9.25582e-03	-3.01337e+02
9.25582e-03	-3.00331e+02
9.25582e-03	-2.97614e+02
9.25582e-03	-2.93047e+02
9.25582e-03	-2.81810e+02
9.25582e-03	-2.74937e+02
9.25582e-03	-2.67240e+02
9.25583e-03	-2.62814e+02
9.25583e-03	-2.60297e+02
9.25583e-03	-2.55348e+02
9.25583e-03	-2.51299e+02
9.25583e-03	-2.44562e+02
9.25583e-03	-2.31629e+02
9.25583e-03	-2.06928e+02
9.25583e-03	-1.74122e+02
9.25583e-03	-1.39618e+02
9.25583e-03	-9.27561e+01
9.25583e-03	-4.06466e+01
9.25583e-03	-2.00482e+01
9.25583e-03	-1.05581e+01
9.25583e-03	-3.62980e+00
9.25583e-03	-1.80888e+00
9.25583e-03	-4.95357e-01
9.25583e-03	-9.31767e-02
9.25583e-03	1.64105e-01
9.25611e-03	2.85451e-01
9.41554e-03	1.97093e-01
9.41554e-03	-5.15057e-01
9.41555e-03	-1.79172e+00
9.41555e-03	-2.09195e+00
9.41555e-03	-3.07279e+00
9.41555e-03	-3.85291e+00
9.41555e-03	-1.21748e+02
9.41555e-03	-2.49098e+02
9.41555e-03	-2.62610e+02
9.41555e-03	-2.80673e+02
9.41555e-03	-2.89726e+02
9.41555e-03	-2.94555e+02
9.41555e-03	-2.96222e+02
9.41555e-03	-2.97028e+02
9.41555e-03	-2.97603e+02
9.41556e-03	-3.01308e+02
9.41556e-03	-3.01989e+02
9.41556e-03	-3.02392e+02
9.41560e-03	-3.02644e+02
9.69266e-03	-3.02166e+02
9.69266e-03	-2.97087e+02
9.69266e-03	-2.65071e+02
9.69266e-03	-1.80851e+02
9.69266e-03	-5.64255e+01
9.69266e-03	-4.19202e+01
9.69266e-03	-1.85921e+01
9.69266e-03	-4.08414e+00
9.69266e-03	2.00204e+00
9.69266e-03	3.24225e+00
9.69267e-03	5.77856e+00
9.69267e-03	6.18582e+00
9.69267e-03	6.47693e+00
9.69275e-03	6.67145e+00
1.00485e-02	4.62354e+00
1.03640e-02	3.36847e+00
1.03640e-02	2.94327e+00
1.03640e-02	1.63785e+00
1.03640e-02	-1.35980e+00
1.03640e-02	-5.13251e+00
1.03640e-02	-1.62366e+01
1.03640e-02	-2.10714e+01
1.03640e-02	-2.63175e+01
1.03640e-02	-3.06163e+01
1.03640e-02	-3.41939e+01
1.03640e-02	-3.66132e+01
1.03640e-02	-3.86519e+01
1.03640e-02	-4.41149e+01
1.03640e-02	-4.62440e+01
1.03640e-02	-6.07942e+01
1.03640e-02	-1.80413e+02
1.03640e-02	-2.67195e+02
1.03640e-02	-3.01384e+02
1.03641e-02	-3.01551e+02
1.05388e-02	-3.01465e+02
1.05388e-02	-3.01574e+02
1.05388e-02	-3.01293e+02
1.05388e-02	-2.99901e+02
1.05388e-02	-2.95807e+02
1.05388e-02	-2.89846e+02
1.05388e-02	-2.83991e+02
1.05388e-02	-2.77960e+02
1.05388e-02	-2.71164e+02
1.05388e-02	-2.64367e+02
1.05388e-02	-2.61216e+02
1.05388e-02	-2.58868e+02
1.05388e-02	-2.54147e+02
1.05388e-02	-2.50107e+02
1.05388e-02	-2.40608e+02
1.05388e-02	-2.24135e+02
1.05388e-02	-1.97555e+02
1.05388e-02	-1.61398e+02
1.05388e-02	-1.26776e+02
1.05388e-02	-6.88211e+01
1.05388e-02	-3.34153e+01
1.05388e-02	-1.73623e+01
1.05388e-02	-8.85829e+00
1.05388e-02	-3.18897e+00
1.05388e-02	-1.59279e+00
1.05388e-02	-4.94161e-01
1.05388e-02	-1.25792e-01
1.05388e-02	9.37489e-02
1.08104e-02	8.96276e-02
1.08104e-02	-6.04853e-01
1.08104e-02	-1.52164e+00
1.08104e-02	-4.56615e+00
1.08104e-02	-1.08305e+01
1.08104e-02	-1.56266e+01
1.08104e-02	-1.64852e+01
1.08104e-02	-1.20193e+02
1.08104e-02	-2.44436e+02
1.08104e-02	-2.58596e+02
1.08104e-02	-2.78843e+02
1.08104e-02	-2.88743e+02
1.08104e-02	-2.94911e+02
1.08104e-02	-2.97139e+02
1.08104e-02	-2.97923e+02
1.08104e-02	-2.98450e+02
1.08104e-02	-3.01378e+02
1.08104e-02	-3.02478e+02
1.08104e-02	-3.03040e+02
1.08104e-02	-3.03415e+02
1.08105e-02	-3.03614e+02
1.09240e-02	-3.03207e+02
1.09240e-02	-3.02552e+02
1.09240e-02	-3.02335e+02
1.09240e-02	-2.59910e+02
1.09240e-02	-1.68469e+02
1.09240e-02	-4.34924e+01
1.09240e-02	-3.03824e+01
1.09240e-02	-1.35186e+01
1.09240e-02	-6.56570e+00
1.09240e-02	-2.96637e+00
1.09240e-02	-1.56732e+00
1.09240e-02	-1.02307e+00
1.09240e-02	-3.24188e-01
1.09240e-02	3.21268e+00
1.09240e-02	3.73920e+00
1.09240e-02	4.01682e+00
1.09269e-02	4.10687e+00
1.13831e-02	2.56439e+00
1.17911e-02	1.61807e+00
1.17911e-02	1.51132e+00
1.17911e-02	1.79718e+00
1.17911e-02	3.16446e+00
1.17911e-02	7.13925e+00
1.17911e-02	1.24045e+01
1.17911e-02	1.84086e+01
1.17911e-02	2.43643e+01
1.17911e-02	3.11286e+01
1.17911e-02	3.81807e+01
1.17911e-02	4.13888e+01
1.17911e-02	4.37005e+01
1.17912e-02	4.83723e+01
1.17912e-02	5.37642e+01
1.17912e-02	6.44402e+01
1.17912e-02	8.35744e+01
1.17912e-02	1.13548e+02
1.17912e-02	1.51388e+02
1.17912e-02	1.87303e+02
1.17912e-02	2.51520e+02
1.17912e-02	2.78033e+02
1.17912e-02	2.89984e+02
1.17912e-02	2.97715e+02
1.17912e-02	3.00591e+02
1.17912e-02	3.02414e+02
1.17912e-02	3.03389e+02
1.17912e-02	3.03599e+02
1.18106e-02	3.03696e+02
1.18106e-02	3.03281e+02
1.18106e-02	3.01779e+02
1.18106e-02	2.97183e+02
1.18106e-02	2.91498e+02
1.18106e-02	2.86008e+02
1.18106e-02	2.79608e+02
1.18106e-02	2.74431e+02
1.18106e-02	2.67903e+02
1.18106e-02	2.64678e+02
1.18106e-02	2.62372e+02
1.18106e-02	2.56449e+02
1.18106e-02	2.53191e+02
1.18106e-02	2.45765e+02
1.18106e-02	2.33127e+02
1.18106e-02	2.09958e+02
1.18106e-02	1.76971e+02
1.18106e-02	1.43842e+02
1.18106e-02	9.64529e+01
1.18106e-02	4.22802e+01
1.18106e-02	2.14593e+01
1.18106e-02	1.20845e+01
1.18106e-02	4.97426e+00
1.18106e-02	3.03820e+00
1.18106e-02	1.14246e+00
1.18106e-02	4.44421e-01
1.18106e-02	1.95121e-01
1.18107e-02	5.61024e-02
1.21658e-02	8.70255e-02
1.21659e-02	6.30627e-01
